ano,uf_cod_destino,uf_destino,total,machos,femeas,m_0a12,f_0a12,m_13a24,f_13a24,m_25a36,f_25a36,m_maisde36,f_maisde36
2019,11,RO,31653,25283,6370,16775,2137,5658,1132,1365,947,1485,2154
2019,13,AM,51504,34823,16681,11951,3681,4446,3928,6789,3063,11637,6009
2019,31,MG,2607,2194,413,1815,0,206,30,157,366,16,17
2019,35,SP,11043,9262,1781,5950,743,1848,1038,1384,0,80,0
2019,41,PR,3826,3516,310,1386,260,30,50,2035,0,65,0
2019,50,MS,1049,764,285,560,252,202,33,0,0,2,0
2019,51,MT,8541,8540,1,6982,0,1483,0,75,0,0,1
2019,52,GO,1191,1059,132,919,132,140,0,0,0,0,0
2020,11,RO,22825,15957,6868,10089,4026,4335,1187,564,652,969,1003
2020,13,AM,118659,66306,52353,30784,14995,10716,8120,12852,5154,11954,24084
2020,14,RR,1167,901,266,860,198,2,68,15,0,24,0
2020,15,PA,189,16,173,0,101,0,72,12,0,4,0
2020,27,AL,6,5,1,0,0,5,1,0,0,0,0
2020,29,BA,505,30,475,0,446,0,29,0,0,30,0
2020,31,MG,11370,8002,3368,5975,2296,1936,976,90,33,1,63
2020,35,SP,38879,31148,7731,20631,6433,7148,1191,2761,105,608,2
2020,41,PR,5359,4088,1271,709,881,1053,390,1869,0,457,0
2020,50,MS,1715,1163,552,1153,545,9,2,1,0,0,5
2020,51,MT,11684,11588,96,11123,48,432,21,31,17,2,10
2020,52,GO,7234,5765,1469,4928,829,833,597,1,27,3,16
2021,11,RO,16002,13090,2912,5765,1516,2978,594,3488,138,859,664
2021,13,AM,31179,22071,9108,8822,3536,6078,2415,3264,741,3907,2416
2021,14,RR,1009,105,904,29,194,60,176,10,360,6,174
2021,29,BA,152,14,138,1,111,10,25,0,0,3,2
2021,31,MG,2695,1773,922,902,906,624,16,247,0,0,0
2021,35,SP,23063,20343,2720,14481,2169,3366,533,1798,5,698,13
2021,41,PR,16806,14685,2121,5504,1986,6464,61,1442,74,1275,0
2021,50,MS,749,411,338,281,263,130,75,0,0,0,0
2021,51,MT,14619,14540,79,14180,40,306,18,49,14,5,7
2021,52,GO,1841,1090,751,600,650,490,90,0,11,0,0
2022,11,RO,9203,8218,985,3415,252,2451,225,1249,256,1103,252
2022,13,AM,30304,19214,11090,3072,2298,8132,2831,4732,1360,3278,4601
2022,15,PA,530,252,278,244,11,2,9,4,14,2,244
2022,31,MG,900,900,0,467,0,290,0,101,0,42,0
2022,35,SP,26902,25972,930,14902,757,8022,170,3048,0,0,3
2022,41,PR,575,565,10,130,0,294,10,121,0,20,0
2022,50,MS,509,509,0,485,0,24,0,0,0,0,0
2022,51,MT,43289,42281,1008,40225,763,2014,245,40,0,2,0
2022,52,GO,1218,1108,110,930,110,138,0,40,0,0,0
2023,11,RO,7968,5183,2785,2792,989,1592,839,341,358,458,599
2023,13,AM,18885,11285,7600,4165,2688,4657,2065,1829,1062,634,1785
2023,14,RR,31,31,0,0,0,0,0,31,0,0,0
2023,29,BA,150,150,0,0,0,150,0,0,0,0,0
2023,31,MG,4016,3756,260,3647,213,109,47,0,0,0,0
2023,35,SP,41363,38896,2467,26596,2254,11072,210,1227,2,1,1
2023,41,PR,2151,2151,0,1411,0,10,0,624,0,106,0
2023,50,MS,34351,30931,3420,29987,2854,944,566,0,0,0,0
2023,51,MT,33239,33200,39,32845,39,323,0,32,0,0,0
2023,52,GO,110,110,0,110,0,0,0,0,0,0,0
